City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,nova xavantina,-14.6667,-52.35,299.46,28,81,1.82,BR,1689889641
342,east end,34.5507,-92.341,310.78,28,69,3.99,US,1689889641
343,sassandra,4.95,-6.0833,297.38,91,22,3.14,CI,1689889642
344,nabire,-3.3667,135.4833,298.12,90,93,1.7,ID,1689889045
345,el calafate,-50.3408,-72.2768,275.29,99,100,0.71,AR,1689889642
346,the pas,53.8251,-101.2541,299.16,47,75,5.14,CA,1689889642
347,calama,-22.4667,-68.9333,297.42,3,0,9.26,CL,1689889497
348,revda,56.801,59.9303,285.92,85,57,3.12,RU,1689889169
349,bentota,6.4254,79.9948,299.84,85,52,5.12,LK,1689889643
350,mogocha,53.7333,119.7667,286.07,68,95,0.16,RU,1689889643
351,tarfaya,27.9358,-12.9218,294.56,88,24,10.5,MA,1689889643
352,mae ramat,16.984,98.5166,296.39,99,100,0.68,TH,1689889643
353,takoradi,4.8845,-1.7554,297.75,89,8,2.8,GH,1689889644
354,sinabang,2.4803,96.3801,298.68,83,100,1.68,ID,1689889644
355,seydi,39.4816,62.9137,300.15,23,0,5.47,TM,1689889644
356,necochea,-38.5473,-58.7368,282.12,85,13,4.58,AR,1689889644
357,saipan,15.1355,145.701,301.84,100,0,4.63,MP,1689889027
358,sitka,57.0531,-135.33,290.09,72,75,2.06,US,1689888989
359,vyaz'ma,55.2104,34.2951,286.02,70,100,2.08,RU,1689889645
360,kilindoni,-7.9139,39.6668,298.36,81,0,7.49,TZ,1689889133
361,guiratinga,-16.3494,-53.7583,298.93,30,0,1.83,BR,1689889645
